functionname,protocol,device,subdevice,function
KEY_AGAIN,NEC,60,-1,1
stop_cd,NEC,60,-1,4
memory,NEC,60,-1,5
KEY_PLAY,NEC,60,-1,6
tune+,NEC,60,-1,7
tune-,NEC,60,-1,8
random,NEC,60,-1,10
KEY_PLAY,NEC,60,-1,31
KEY_POWER,NEC,60,-1,64
KEY_VOLUMEUP,NEC,60,-1,65
KEY_VOLUMEDOWN,NEC,60,-1,66
sound_preset,NEC,60,-1,68
KEY_VIDEO,NEC,60,-1,70
KEY_SLEEP,NEC,60,-1,72
fm_mode,NEC,60,-1,75
preset,NEC,60,-1,77
tuner-band,NEC,60,-1,78
stop_tape,NEC,60,-1,81
stop_recording,NEC,60,-1,82
KEY_PLAY,NEC,60,-1,84
KEY_FASTFORWARD,NEC,60,-1,85
KEY_REWIND,NEC,60,-1,86
start_recording,NEC,60,-1,87
KEY_1,NEC,60,-1,128
KEY_2,NEC,60,-1,129
KEY_3,NEC,60,-1,130
KEY_4,NEC,60,-1,131
KEY_5,NEC,60,-1,132
KEY_6,NEC,60,-1,133
KEY_7,NEC,60,-1,134
KEY_8,NEC,60,-1,135
KEY_9,NEC,60,-1,136
KEY_0,NEC,60,-1,137
