functionname,protocol,device,subdevice,function
KEY_0,RC5,28,-1,0
KEY_1,RC5,28,-1,1
KEY_2,RC5,28,-1,2
KEY_3,RC5,28,-1,3
KEY_4,RC5,28,-1,4
KEY_5,RC5,28,-1,5
KEY_6,RC5,28,-1,6
KEY_7,RC5,28,-1,7
KEY_8,RC5,28,-1,8
KEY_9,RC5,28,-1,9
KEY_POWER,RC5,28,-1,12
KEY_MUTE,RC5,28,-1,13
PP,RC5,28,-1,14
KEY_I,RC5,28,-1,15
KEY_RIGHT,RC5,28,-1,16
KEY_LEFT,RC5,28,-1,17
KEY_UP,RC5,28,-1,32
KEY_DOWN,RC5,28,-1,33
jump,RC5,28,-1,34
KEY_OK,RC5,28,-1,41
KEY_EPG,RC5,28,-1,45
KEY_YELLOW,RC5,28,-1,50
KEY_BLUE,RC5,28,-1,52
KEY_GREEN,RC5,28,-1,54
KEY_RED,RC5,28,-1,55
KEY_EXIT,RC5,28,-1,60
KEY_RADIO,RC5,28,-1,72
KEY_F1,RC5,28,-1,92
KEY_F2,RC5,28,-1,93
KEY_F3,RC5,28,-1,94
KEY_F4,RC5,28,-1,95
KEY_LIST,RC5,28,-1,114
?,RC5,28,-1,115
tvtv,RC5,28,-1,116
KEY_RECORD,RC5,28,-1,117
live,RC5,28,-1,125
