functionname,protocol,device,subdevice,function
num1,Sharp{1},1,-1,1
num2,Sharp{1},1,-1,2
num3,Sharp{1},1,-1,3
num4,Sharp{1},1,-1,4
num5,Sharp{1},1,-1,5
num6,Sharp{1},1,-1,6
num7,Sharp{1},1,-1,7
num8,Sharp{1},1,-1,8
num9,Sharp{1},1,-1,9
num0,Sharp{1},1,-1,10
KEY_CHANNELUP,Sharp{1},1,-1,17
KEY_CHANNELDOWN,Sharp{1},1,-1,18
tv_video,Sharp{1},1,-1,19
KEY_VOLUMEUP,Sharp{1},1,-1,20
KEY_VOLUMEDOWN,Sharp{1},1,-1,21
KEY_POWER,Sharp{1},1,-1,22
vol_mute,Sharp{1},1,-1,23
KEY_POWER,Sharp{1},1,-1,27
screen_time,Sharp{1},1,-1,28
screen_blank,Sharp{1},1,-1,50
screen_smaller,Sharp{1},1,-1,51
screen_switch,Sharp{1},1,-1,52
screen_close,Sharp{1},1,-1,53
screen_s,Sharp{1},1,-1,54
screen_bigger,Sharp{1},1,-1,55
screen_question,Sharp{1},1,-1,56
num_switch,Sharp{1},1,-1,60
p_c,Sharp{1},1,-1,61
pr,Sharp{1},1,-1,65
KEY_RED,Sharp{1},1,-1,72
KEY_GREEN,Sharp{1},1,-1,73
KEY_YELLOW,Sharp{1},1,-1,74
KEY_BLUE,Sharp{1},1,-1,75
screen_info,Sharp{1},1,-1,76
KEY_F,Sharp{1},1,-1,95
KEY_P,Sharp{1},1,-1,96
KEY_S,Sharp{1},1,-1,97
