functionname,protocol,device,subdevice,function
KEY_AGAIN,NEC,8,-1,6
KEY_DOWN,NEC,8,-1,7
KEY_SUBTITLE,NEC,8,-1,8
KEY_ANGLE,NEC,8,-1,10
KEY_AUDIO,NEC,8,-1,11
KEY_PLAY,NEC,8,-1,14
KEY_FORWARD,NEC,8,-1,15
AB,NEC,8,-1,18
KEY_ZOOM,NEC,8,-1,19
KEY_VOLUMEUP,NEC,8,-1,21
KEY_PREVIOUS,NEC,8,-1,22
KEY_PAUSE,NEC,8,-1,23
KEY_ENTER,NEC,8,-1,25
KEY_MENU,NEC,8,-1,27
KEY_VOLUMEDOWN,NEC,8,-1,28
KEY_NEXT,NEC,8,-1,30
KEY_STOP,NEC,8,-1,31
KEY_VIDEO,NEC,8,-1,64
KEY_ENTER,NEC,8,-1,68
KEY_UP,NEC,8,-1,69
KEY_REWIND,NEC,8,-1,70
PBC,NEC,8,-1,72
KEY_8,NEC,8,-1,76
KEY_5,NEC,8,-1,78
KEY_2,NEC,8,-1,79
KEY_RIGHT,NEC,8,-1,80
DISPLAY,NEC,8,-1,81
KEY_SLOW,NEC,8,-1,82
KEY_3,NEC,8,-1,83
KEY_7,NEC,8,-1,84
KEY_0,NEC,8,-1,85
KEY_4,NEC,8,-1,86
KEY_1,NEC,8,-1,87
KEY_LEFT,NEC,8,-1,88
KEY_SETUP,NEC,8,-1,89
KEY_MUTE,NEC,8,-1,90
KEY_POWER,NEC,8,-1,91
KEY_9,NEC,8,-1,92
GOTO,NEC,8,-1,93
KEY_6,NEC,8,-1,94
KEY_OPEN,NEC,8,-1,95
