functionname,protocol,device,subdevice,function
text1,NEC,32,-1,2
KEY_8,NEC,32,-1,8
KEY_9,NEC,32,-1,9
KEY_RED,NEC,32,-1,10
KEY_7,NEC,32,-1,11
KEY_5,NEC,32,-1,12
KEY_6,NEC,32,-1,13
KEY_POWER,NEC,32,-1,14
KEY_4,NEC,32,-1,15
KEY_2,NEC,32,-1,16
KEY_3,NEC,32,-1,17
KEY_GREEN,NEC,32,-1,18
KEY_1,NEC,32,-1,19
KEY_STOP,NEC,32,-1,20
KEY_PAUSE,NEC,32,-1,21
KEY_BLUE,NEC,32,-1,22
av,NEC,32,-1,23
text3,NEC,32,-1,24
KEY_REWIND,NEC,32,-1,25
text2,NEC,32,-1,27
KEY_LEFT,NEC,32,-1,28
KEY_DOWN,NEC,32,-1,29
KEY_CHANNELUP,NEC,32,-1,30
KEY_EXIT,NEC,32,-1,64
KEY_MENU,NEC,32,-1,66
KEY_CHANNELDOWN,NEC,32,-1,67
KEY_UP,NEC,32,-1,68
KEY_YELLOW,NEC,32,-1,71
KEY_RIGHT,NEC,32,-1,72
KEY_0,NEC,32,-1,73
KEY_BACK,NEC,32,-1,77
KEY_VOLUMEUP,NEC,32,-1,78
KEY_VOLUMEDOWN,NEC,32,-1,79
KEY_MUTE,NEC,32,-1,81
KEY_RECORD,NEC,32,-1,84
KEY_PLAY,NEC,32,-1,85
forw,NEC,32,-1,89
KEY_OK,NEC,32,-1,92
text4,NEC,32,-1,93
