functionname,protocol,device,subdevice,function
num0,NEC,0,-1,132
KEY_MUTE,NEC,0,-1,133
KEY_POWER,NEC,0,-1,134
up_arrow,NEC,0,-1,135
KEY_SELECT,NEC,0,-1,136
right_arrow,NEC,0,-1,137
KEY_FASTFORWARD,NEC,0,-1,138
KEY_VOLUMEUP,NEC,0,-1,139
down_arrow,NEC,0,-1,140
KEY_PLAYPAUSE,NEC,0,-1,141
fm_preset,NEC,0,-1,142
display,NEC,0,-1,143
num7,NEC,0,-1,144
num4,NEC,0,-1,145
num1,NEC,0,-1,146
band,NEC,0,-1,147
num8,NEC,0,-1,148
num5,NEC,0,-1,149
num2,NEC,0,-1,150
memory,NEC,0,-1,151
num9,NEC,0,-1,152
num6,NEC,0,-1,153
num3,NEC,0,-1,154
KEY_VOLUMEDOWN,NEC,0,-1,155
KEY_MENU,NEC,0,-1,156
jump_button,NEC,0,-1,157
KEY_REWIND,NEC,0,-1,158
left_arrow,NEC,0,-1,159
