functionname,protocol,device,subdevice,function
KEY_0,RC6-6-20,0,12,0
KEY_1,RC6-6-20,0,12,1
KEY_2,RC6-6-20,0,12,2
KEY_3,RC6-6-20,0,12,3
KEY_4,RC6-6-20,0,12,4
KEY_5,RC6-6-20,0,12,5
KEY_6,RC6-6-20,0,12,6
KEY_7,RC6-6-20,0,12,7
KEY_8,RC6-6-20,0,12,8
KEY_9,RC6-6-20,0,12,9
KEY_POWER,RC6-6-20,0,12,12
KEY_CHANNELUP,RC6-6-20,0,12,32
KEY_CHANNELDOWN,RC6-6-20,0,12,33
KEY_PAUSE,RC6-6-20,0,12,36
KEY_FASTFORWARD,RC6-6-20,0,12,40
KEY_TEXT,RC6-6-20,0,12,60
FREV,RC6-6-20,0,12,61
KEY_PLAY,RC6-6-20,0,12,62
KEY_STOP,RC6-6-20,0,12,63
KEY_RECORD,RC6-6-20,0,12,64
KEY_UP,RC6-6-20,0,12,88
KEY_DOWN,RC6-6-20,0,12,89
KEY_LEFT,RC6-6-20,0,12,90
KEY_RIGHT,RC6-6-20,0,12,91
KEY_SELECT,RC6-6-20,0,12,92
KEY_RED,RC6-6-20,0,12,109
KEY_GREEN,RC6-6-20,0,12,110
KEY_YELLOW,RC6-6-20,0,12,111
KEY_BLUE,RC6-6-20,0,12,112
BOX_OFFICE,RC6-6-20,0,12,125
SERVICES,RC6-6-20,0,12,126
SKY,RC6-6-20,0,12,128
KEY_HELP,RC6-6-20,0,12,129
BACK_UP,RC6-6-20,0,12,131
KEY_TV,RC6-6-20,0,12,132
KEY_INFO,RC6-6-20,0,12,203
TV_GUIDE,RC6-6-20,0,12,204
INTERACTIVE,RC6-6-20,0,12,245
