functionname,protocol,device,subdevice,function
KEY_VOLUMEDOWN,NEC,8,230,16
ArrowRight,NEC,8,230,17
KEY_MENU,NEC,8,230,18
KEY_NEXT,NEC,8,230,19
ArrowUp,NEC,8,230,20
KEY_ENTER,NEC,8,230,21
ArrowDown,NEC,8,230,22
KEY_PLAY,NEC,8,230,23
KEY_VOLUMEUP,NEC,8,230,24
KEY_MUTE,NEC,8,230,25
KEY_SETUP,NEC,8,230,26
KEY_PREVIOUS,NEC,8,230,27
ArrowLeft,NEC,8,230,29
KEY_ENTER,NEC,8,230,30
A-B,NEC,8,230,31
KEY_3,NEC,8,230,64
KEY_2,NEC,8,230,65
KEY_1,NEC,8,230,66
KEY_POWER,NEC,8,230,67
KEY_6,NEC,8,230,68
KEY_5,NEC,8,230,69
KEY_4,NEC,8,230,70
KEY_EJECTCD,NEC,8,230,71
KEY_9,NEC,8,230,72
KEY_8,NEC,8,230,73
KEY_7,NEC,8,230,74
TvMode,NEC,8,230,75
KEY_SELECT,NEC,8,230,76
KEY_0,NEC,8,230,77
KEY_CLEAR,NEC,8,230,78
KEY_FORWARD,NEC,8,230,80
SlowFwd,NEC,8,230,81
KEY_AUDIO,NEC,8,230,82
KEY_ZOOM,NEC,8,230,83
KEY_STOP,NEC,8,230,84
PausePlay,NEC,8,230,85
KEY_SUBTITLE,NEC,8,230,86
KEY_SEARCH,NEC,8,230,87
Rev,NEC,8,230,88
SlowRev,NEC,8,230,89
KEY_TITLE,NEC,8,230,90
AngleRotate,NEC,8,230,91
KEY_AGAIN,NEC,8,230,92
KEY_INFO,NEC,8,230,93
KEY_EDIT,NEC,8,230,94
Shuffle,NEC,8,230,95
