functionname,protocol,device,subdevice,function
TRACK 1,Sony12,17,-1,0
1,Sony12,17,-1,0
1/&!?,Sony12,17,-1,0
TRACK 2,Sony12,17,-1,1
2,Sony12,17,-1,1
2/ABC,Sony12,17,-1,1
TRACK 3,Sony12,17,-1,2
3,Sony12,17,-1,2
3/DEF,Sony12,17,-1,2
TRACK 4,Sony12,17,-1,3
4,Sony12,17,-1,3
4/GHI,Sony12,17,-1,3
TRACK 5,Sony12,17,-1,4
5,Sony12,17,-1,4
5/JKL,Sony12,17,-1,4
TRACK 6,Sony12,17,-1,5
6,Sony12,17,-1,5
6/MNO,Sony12,17,-1,5
TRACK 7,Sony12,17,-1,6
7,Sony12,17,-1,6
7/PRS,Sony12,17,-1,6
TRACK 8,Sony12,17,-1,7
8,Sony12,17,-1,7
8/TUV,Sony12,17,-1,7
TRACK 9,Sony12,17,-1,8
9,Sony12,17,-1,8
9/WXY,Sony12,17,-1,8
ENTER,Sony12,17,-1,11
CHECK,Sony12,17,-1,13
CLEAR,Sony12,17,-1,15
CLEAR PROGRAM,Sony12,17,-1,15
CLEAR REPEAT,Sony12,17,-1,15
TRACK 17,Sony12,17,-1,16
17,Sony12,17,-1,16
TRACK 18,Sony12,17,-1,17
18,Sony12,17,-1,17
LINE OUT +,Sony12,17,-1,18
VOLUME - UP,Sony12,17,-1,18
LINE LEVEL OUT +,Sony12,17,-1,18
LINE VOL +,Sony12,17,-1,18
LINE OUT -,Sony12,17,-1,19
VOLUME - DOWN,Sony12,17,-1,19
LINE LEVEL OUT -,Sony12,17,-1,19
LINE VOL -,Sony12,17,-1,19
POWER,Sony12,17,-1,21
OPEN/CLOSE,Sony12,17,-1,22
TRAY,Sony12,17,-1,22
TRACK 19,Sony12,17,-1,23
19,Sony12,17,-1,23
SORT,Sony12,17,-1,28
CONTINUE,Sony12,17,-1,29
CONTINUE PLAY,Sony12,17,-1,29
SINGLE,Sony12,17,-1,30
PROGRAM,Sony12,17,-1,31
PROGRAM PLAY,Sony12,17,-1,31
TRACK 10,Sony12,17,-1,32
10,Sony12,17,-1,32
0,Sony12,17,-1,32
10/0,Sony12,17,-1,32
10/0/QZ,Sony12,17,-1,32
TRACK 11,Sony12,17,-1,33
11,Sony12,17,-1,33
TRACK 12,Sony12,17,-1,34
12,Sony12,17,-1,34
TRACK 13,Sony12,17,-1,35
13,Sony12,17,-1,35
TRACK 14,Sony12,17,-1,36
14,Sony12,17,-1,36
TRACK 15,Sony12,17,-1,37
15,Sony12,17,-1,37
TRACK 16,Sony12,17,-1,38
16,Sony12,17,-1,38
+10,Sony12,17,-1,39
>10,Sony12,17,-1,39
>20,Sony12,17,-1,39
TIME,Sony12,17,-1,40
TIME/TEXT/SPACE,Sony12,17,-1,40
TIME/TEXT,Sony12,17,-1,40
TRACK 20,Sony12,17,-1,41
20,Sony12,17,-1,41
REPEAT A-B,Sony12,17,-1,42
A - B,Sony12,17,-1,42
REPEAT,Sony12,17,-1,44
CLEAR REPEAT,Sony12,17,-1,44
<< TRACK,Sony12,17,-1,48
AMS<<,Sony12,17,-1,48
SKIP <<,Sony12,17,-1,48
Z - TRACK ( - ),Sony12,17,-1,48
>> TRACK,Sony12,17,-1,49
AMS>>,Sony12,17,-1,49
SKIP >>,Sony12,17,-1,49
Z - TRACK ( + ),Sony12,17,-1,49
PLAY,Sony12,17,-1,50
Z - PLAY,Sony12,17,-1,50
<< SCAN,Sony12,17,-1,51
