functionname,protocol,device,subdevice,function
,Sony15,23,-1,13
,Sony15,23,-1,72
,Sony15,23,-1,76
,Sony15,23,-1,80
,Sony15,23,-1,81
,Sony15,23,-1,82
,Sony15,23,-1,83
,Sony15,23,-1,84
,Sony15,23,-1,85
,Sony15,23,-1,88
,Sony15,23,-1,91
,Sony15,23,-1,92
,Sony15,23,-1,93
,Sony15,23,-1,94
,Sony15,23,-1,95
,Sony15,23,-1,96
,Sony15,23,-1,97
,Sony15,23,-1,99
,Sony15,23,-1,100
,Sony15,23,-1,101
,Sony15,23,-1,102
,Sony15,23,-1,103
,Sony15,23,-1,105
,Sony15,23,-1,107
,Sony15,23,-1,108
,Sony15,23,-1,109
,Sony15,23,-1,110
,Sony15,23,-1,114
,Sony15,23,-1,115
,Sony15,23,-1,116
,Sony15,23,-1,117
,Sony15,23,-1,119
,Sony15,23,-1,120
,Sony15,23,-1,122
,Sony15,23,-1,123
,Sony15,23,-1,125
,Sony15,23,-1,126
,Sony15,23,-1,127
