functionname,protocol,device,subdevice,function
1,Sony12,13,-1,0
TUNER 1,Sony12,13,-1,0
RADIO CH 1,Sony12,13,-1,0
2,Sony12,13,-1,1
TUNER 2,Sony12,13,-1,1
RADIO CH 2,Sony12,13,-1,1
3,Sony12,13,-1,2
TUNER 3,Sony12,13,-1,2
RADIO CH 3,Sony12,13,-1,2
4,Sony12,13,-1,3
TUNER 4,Sony12,13,-1,3
RADIO CH 4,Sony12,13,-1,3
5,Sony12,13,-1,4
TUNER 5,Sony12,13,-1,4
RADIO CH 5,Sony12,13,-1,4
6,Sony12,13,-1,5
TUNER 6,Sony12,13,-1,5
RADIO CH 6,Sony12,13,-1,5
7,Sony12,13,-1,6
TUNER 7,Sony12,13,-1,6
RADIO CH 7,Sony12,13,-1,6
8,Sony12,13,-1,7
TUNER 8,Sony12,13,-1,7
RADIO CH 8,Sony12,13,-1,7
9,Sony12,13,-1,8
TUNER 9,Sony12,13,-1,8
RADIO CH 9,Sony12,13,-1,8
0,Sony12,13,-1,9
RADIO CH 0,Sony12,13,-1,9
TUNER MEMORY,Sony12,13,-1,14
TUNER AM/FM,Sony12,13,-1,15
AM/FM,Sony12,13,-1,15
PRESET +,Sony12,13,-1,16
TUNER PRESET,Sony12,13,-1,16
CH/PRESET +,Sony12,13,-1,16
CH. PRESET +,Sony12,13,-1,16
PRESET UP,Sony12,13,-1,16
PRESET -,Sony12,13,-1,17
CH/PRESET -,Sony12,13,-1,17
CH. PRESET -,Sony12,13,-1,17
PRESET DOWN,Sony12,13,-1,17
SCAN +,Sony12,13,-1,18
TUNER (-),Sony12,13,-1,19
SCAN -,Sony12,13,-1,19
TUNER PRESET A,Sony12,13,-1,48
A,Sony12,13,-1,48
TUNER PRESET B,Sony12,13,-1,49
B,Sony12,13,-1,49
TUNER PRESET C,Sony12,13,-1,50
C,Sony12,13,-1,50
>10,Sony12,13,-1,51
TUNER SHIFT,Sony12,13,-1,51
RADIO CH >10,Sony12,13,-1,51
SHIFT/ >10,Sony12,13,-1,51
SHIFT,Sony12,13,-1,51
INDEX,Sony12,13,-1,82
DIRECT TUNE/ENTER,Sony12,13,-1,83
TUNER DIRECT INPUT,Sony12,13,-1,83
RADIO D.TUNNING,Sony12,13,-1,83
ENTER,Sony12,13,-1,83
