functionname,protocol,device,subdevice,function
1,Sony12,1,-1,0
KEY 1,Sony12,1,-1,0
2,Sony12,1,-1,1
KEY 2,Sony12,1,-1,1
3,Sony12,1,-1,2
KEY 3,Sony12,1,-1,2
4,Sony12,1,-1,3
KEY 4,Sony12,1,-1,3
5,Sony12,1,-1,4
KEY 5,Sony12,1,-1,4
6,Sony12,1,-1,5
KEY 6,Sony12,1,-1,5
7,Sony12,1,-1,6
KEY 7,Sony12,1,-1,6
8,Sony12,1,-1,7
KEY 8,Sony12,1,-1,7
9,Sony12,1,-1,8
,Sony12,1,-1,8
KEY 9,Sony12,1,-1,8
0,Sony12,1,-1,9
KEY 0,Sony12,1,-1,9
ENTER,Sony12,1,-1,11
KEY ENTER,Sony12,1,-1,11
CH,Sony12,1,-1,11
1-,Sony12,1,-1,12
2-,Sony12,1,-1,13
GUIDE,Sony12,1,-1,14
CH GUIDE,Sony12,1,-1,14
P/C,Sony12,1,-1,14
CH. GUIDE,Sony12,1,-1,14
CLEAR,Sony12,1,-1,15
CHANNEL +,Sony12,1,-1,16
CHANNEL UP,Sony12,1,-1,16
PROGR +,Sony12,1,-1,16
NEXT PAGE,Sony12,1,-1,16
CHANNEL -,Sony12,1,-1,17
PROGR -,Sony12,1,-1,17
PREV PAGE,Sony12,1,-1,17
CHANNEL DOWN,Sony12,1,-1,17
VOLUME +,Sony12,1,-1,18
VOLUME UP,Sony12,1,-1,18
,Sony12,1,-1,18
VOLUME -,Sony12,1,-1,19
VOLUME DOWN,Sony12,1,-1,19
MUTE,Sony12,1,-1,20
MUTING,Sony12,1,-1,20
POWER,Sony12,1,-1,21
POWER OFF,Sony12,1,-1,21
POWER ON/OFF,Sony12,1,-1,21
,Sony12,1,-1,21
RESET,Sony12,1,-1,22
NORMALIZE PICT,Sony12,1,-1,22
RECORD,Sony12,1,-1,22
MTS/SAP,Sony12,1,-1,23
MTS/MPX,Sony12,1,-1,23
MTS / SAP,Sony12,1,-1,23
PICTURE +,Sony12,1,-1,24
CONTRAST +,Sony12,1,-1,24
PICTURE -,Sony12,1,-1,25
CONTRAST -,Sony12,1,-1,25
COLOR +,Sony12,1,-1,26
COLOR -,Sony12,1,-1,27
-/--,Sony12,1,-1,29
BRIGHTNESS +,Sony12,1,-1,30
BRIGHT +,Sony12,1,-1,30
BRIGHTNESS -,Sony12,1,-1,31
BRIGHT -,Sony12,1,-1,31
HUE -,Sony12,1,-1,32
HUE +,Sony12,1,-1,33
SHARPNESS +,Sony12,1,-1,34
SHARPNESS -,Sony12,1,-1,35
INPUT: TV TUNER,Sony12,1,-1,36
,Sony12,1,-1,36
INPUT TV,Sony12,1,-1,36
ANTENNA,Sony12,1,-1,36
TUNER,Sony12,1,-1,36
TUNNER,Sony12,1,-1,36
TV/VID,Sony12,1,-1,37
INPUT,Sony12,1,-1,37
TV/VIDEO,Sony12,1,-1,37
INPUT TOGGLE,Sony12,1,-1,37
INPUT SOURCE,Sony12,1,-1,37
AV CHANNEL,Sony12,1,-1,37
HALT,Sony12,1,-1,37
VIDEO INPUT,Sony12,1,-1,37
BALANCE -,Sony12,1,-1,38
BALANCE +,Sony12,1,-1,39
LOUDNESS,Sony12,1,-1,40
OSE,Sony12,1,-1,40
SURROUND,Sony12,1,-1,41
EFFECT,Sony12,1,-1,41
MAIN/AUX COAX TOGGLE,Sony12,1,-1,42
