functionname,protocol,device,subdevice,function
KEY_1,Sony12,17,-1,0
KEY_2,Sony12,17,-1,1
KEY_3,Sony12,17,-1,2
KEY_4,Sony12,17,-1,3
KEY_5,Sony12,17,-1,4
KEY_6,Sony12,17,-1,5
KEY_7,Sony12,17,-1,6
KEY_8,Sony12,17,-1,7
KEY_9,Sony12,17,-1,8
CHECK,Sony12,17,-1,13
KEY_CLEAR,Sony12,17,-1,15
KEY_7,Sony12,17,-1,16
KEY_8,Sony12,17,-1,17
LINE+,Sony12,17,-1,18
LINE-,Sony12,17,-1,19
KEY_9,Sony12,17,-1,23
FILE,Sony12,17,-1,25
BANK,Sony12,17,-1,26
CONTINUE,Sony12,17,-1,29
PGM,Sony12,17,-1,31
KEY_0,Sony12,17,-1,32
KEY_1,Sony12,17,-1,33
KEY_2,Sony12,17,-1,34
KEY_3,Sony12,17,-1,35
KEY_4,Sony12,17,-1,36
KEY_5,Sony12,17,-1,37
KEY_6,Sony12,17,-1,38
>20,Sony12,17,-1,39
KEY_TIME,Sony12,17,-1,40
KEY_0,Sony12,17,-1,41
KEY_AGAIN,Sony12,17,-1,44
INDEX--,Sony12,17,-1,48
INDEX++,Sony12,17,-1,49
KEY_PLAY,Sony12,17,-1,50
KEY_REWIND,Sony12,17,-1,51
KEY_FASTFORWARD,Sony12,17,-1,52
SHUFFLE,Sony12,17,-1,53
KEY_STOP,Sony12,17,-1,56
KEY_PAUSE,Sony12,17,-1,57
MUSIC_SCAN,Sony12,17,-1,60
DISC_SKIP,Sony12,17,-1,62
DISC1,Sony12,17,-1,64
DISC2,Sony12,17,-1,65
DISC3,Sony12,17,-1,66
DISC4,Sony12,17,-1,67
DISC5,Sony12,17,-1,68
FADER,Sony12,17,-1,95
LEVEL_FILE,Sony12,17,-1,104
