functionname,protocol,device,subdevice,function
tape-pause,Gap-1024-3584-64?,255,255,0
tape-play,Gap-1024-3584-64?,255,255,0
tape-stop,Gap-1024-3584-64?,255,255,0
tape-fwd,Gap-1024-3584-64?,255,255,0
tape-rew,Gap-1024-3584-64?,255,255,0
tape-prev,Gap-1024-3584-64?,255,255,0
tape-next,Gap-1024-3584-64?,255,255,0
tape-vol+,Gap-1024-3584-64?,255,255,0
tape-vol-,Gap-1024-3584-64?,255,255,0
tape-mute,Gap-1024-3584-64?,255,255,0
tape-bassboost,Gap-1024-3584-64?,255,255,0
tape-rec,Gap-1024-3584-64?,255,255,0
tape-1,Gap-1024-3584-64?,255,255,0
tape-2,Gap-1024-3584-64?,255,255,0
tape-3,Gap-1024-3584-64?,255,255,0
tape-4,Gap-1024-3584-64?,255,255,0
tape-5,Gap-1024-3584-64?,255,255,0
tape-6,Gap-1024-3584-64?,255,255,0
tape-7,Gap-1024-3584-64?,255,255,0
tape-8,Gap-1024-3584-64?,255,255,0
tape-9,Gap-1024-3584-64?,255,255,0
tape-0,Gap-1024-3584-64?,255,255,0
tape-10+,Gap-1024-3584-64?,255,255,0
tape-enter,Gap-1024-3584-64?,255,255,0
md-play,Gap-1024-3584-64?,255,255,0
md-pause,Gap-1024-3584-64?,255,255,0
md-stop,Gap-1024-3584-64?,255,255,0
md-prev,Gap-1024-3584-64?,255,255,0
md-next,Gap-1024-3584-64?,255,255,0
md-fwd,Gap-1024-3584-64?,255,255,0
md-rew,Gap-1024-3584-64?,255,255,0
md-power,Gap-1024-3584-64?,255,255,0
md-eject,Gap-1024-3584-64?,255,255,0
cd-play,Gap-1024-3584-64?,255,255,0
cd-pause,Gap-1024-3584-64?,255,255,0
cd-stop,Gap-1024-3584-64?,255,255,0
cd-prev,Gap-1024-3584-64?,255,255,0
cd-next,Gap-1024-3584-64?,255,255,0
cd-fwd,Gap-1024-3584-64?,255,255,0
cd-rew,Gap-1024-3584-64?,255,255,0
cd-1,Gap-1024-3584-64?,255,255,0
cd-2,Gap-1024-3584-64?,255,255,0
cd-3,Gap-1024-3584-64?,255,255,0
cd-4,Gap-1024-3584-64?,255,255,0
cd-5,Gap-1024-3584-64?,255,255,0
cd-6,Gap-1024-3584-64?,255,255,0
cd-7,Gap-1024-3584-64?,255,255,0
cd-8,Gap-1024-3584-64?,255,255,0
cd-9,Gap-1024-3584-64?,255,255,0
cd-10,Gap-1024-3584-64?,255,255,0
cd-10+,Gap-1024-3584-64?,255,255,0
cd-continue,Gap-1024-3584-64?,255,255,0
cd-shuffle,Gap-1024-3584-64?,255,255,0
cd-program,Gap-1024-3584-64?,255,255,0
cd-clear,Gap-1024-3584-64?,255,255,0
cd-time,Gap-1024-3584-64?,255,255,0
cd-repeat,Gap-1024-3584-64?,255,255,0
cd-vol+,Gap-1024-3584-64?,255,255,0
cd-vol-,Gap-1024-3584-64?,255,255,0
