functionname,protocol,device,subdevice,function
KEY_1,Sony12,11,-1,0
KEY_2,Sony12,11,-1,1
KEY_3,Sony12,11,-1,2
KEY_4,Sony12,11,-1,3
KEY_5,Sony12,11,-1,4
KEY_6,Sony12,11,-1,5
KEY_7,Sony12,11,-1,6
KEY_8,Sony12,11,-1,7
KEY_9,Sony12,11,-1,8
KEY_0,Sony12,11,-1,9
KEY_102ND,Sony12,11,-1,10
KEY_CHANNELUP,Sony12,11,-1,16
KEY_CHANNELDOWN,Sony12,11,-1,17
KEY_POWER,Sony12,11,-1,21
KEY_STOP,Sony12,11,-1,24
KEY_PAUSE,Sony12,11,-1,25
KEY_PLAY,Sony12,11,-1,26
KEY_PREVIOUS,Sony12,11,-1,27
KEY_NEXT,Sony12,11,-1,28
KEY_RECORD,Sony12,11,-1,29
search_left,Sony12,11,-1,40
search_right,Sony12,11,-1,41
tv/vtr,Sony12,11,-1,42
still,Sony12,11,-1,49
fine_up,Sony12,11,-1,68
fine_down,Sony12,11,-1,69
counter_reset,Sony12,11,-1,70
goto,Sony12,11,-1,76
input_sel,Sony12,11,-1,79
exe,Sony12,11,-1,81
quick_timer,Sony12,11,-1,82
timer_next,Sony12,11,-1,97
timer_clear,Sony12,11,-1,99
timer_check,Sony12,11,-1,100
timer_rec,Sony12,11,-1,101
