functionname,protocol,device,subdevice,function
KEY_1,Gap-85-2395-12?,1,-1,0
KEY_2,Gap-85-2395-12?,1,-1,0
KEY_3,Gap-85-2395-12?,1,-1,0
KEY_4,Gap-85-2395-12?,1,-1,0
KEY_5,Gap-85-2395-12?,1,-1,0
KEY_6,Gap-85-2395-12?,1,-1,0
KEY_7,Gap-85-2395-12?,1,-1,0
KEY_8,Gap-85-2395-12?,1,-1,0
KEY_9,Gap-85-2395-12?,1,-1,0
KEY_0,Gap-85-2395-12?,1,-1,0
KEY_1,Gap-85-2395-12?,1,-1,0
KEY_2,Gap-85-2395-12?,1,-1,0
KEY_3,Gap-85-2395-12?,1,-1,0
KEY_4,Gap-85-2395-12?,1,-1,0
KEY_5,Gap-85-2395-12?,1,-1,0
KEY_6,Gap-85-2395-12?,1,-1,0
KEY_7,Gap-85-2395-12?,1,-1,0
KEY_8,Gap-85-2395-12?,1,-1,0
KEY_9,Gap-85-2395-12?,1,-1,0
KEY_0,Gap-85-2395-12?,1,-1,0
plus10,Gap-85-2395-12?,1,-1,0
KEY_0,Gap-85-2395-12?,1,-1,0
KEY_CLEAR,Gap-85-2395-12?,1,-1,0
pgm,Gap-85-2395-12?,1,-1,0
KEY_AGAIN,Gap-85-2395-12?,1,-1,0
shuffle,Gap-85-2395-12?,1,-1,0
KEY_TIME,Gap-85-2395-12?,1,-1,0
ab,Gap-85-2395-12?,1,-1,0
KEY_PLAY,Gap-85-2395-12?,1,-1,0
KEY_PAUSE,Gap-85-2395-12?,1,-1,0
KEY_STOP,Gap-85-2395-12?,1,-1,0
KEY_NEXT,Gap-85-2395-12?,1,-1,0
KEY_BACK,Gap-85-2395-12?,1,-1,0
indexback,Gap-85-2395-12?,1,-1,0
indexnext,Gap-85-2395-12?,1,-1,0
KEY_FORWARD,Gap-85-2395-12?,1,-1,0
KEY_REWIND,Gap-85-2395-12?,1,-1,0
