functionname,protocol,device,subdevice,function
KEY_VOLUMEUP,Sony15,84,-1,18
KEY_VOLUMEDOWN,Sony15,84,-1,19
KEY_MUTE,Sony15,84,-1,20
KEY_POWER,Sony15,84,-1,21
CONTRAST+,Sony15,84,-1,24
CONTRAST-,Sony15,84,-1,25
COLOR+,Sony15,84,-1,26
COLOR-,Sony15,84,-1,27
BRIGHT+,Sony15,84,-1,30
BRIGHT-,Sony15,84,-1,31
HUE+,Sony15,84,-1,32
HUE-,Sony15,84,-1,33
SHARP+,Sony15,84,-1,34
SHARP-,Sony15,84,-1,35
PICTURE_MUTE,Sony15,84,-1,36
STATUS_ON,Sony15,84,-1,37
STATUS_OFF,Sony15,84,-1,38
KEY_MENU,Sony15,84,-1,41
KEY_VIDEO,Sony15,84,-1,42
INPUT_A,Sony15,84,-1,43
KEY_POWER,Sony15,84,-1,46
KEY_POWER,Sony15,84,-1,47
CURSOR_LEFT,Sony15,84,-1,52
CURSOR_UP,Sony15,84,-1,53
CURSOR_DOWN,Sony15,84,-1,54
RGB_HSIZE,Sony15,84,-1,71
RGB_SHIFT,Sony15,84,-1,72
ASPECT_SELECT,Sony15,84,-1,76
INPUT,Sony15,84,-1,87
KEY_ENTER,Sony15,84,-1,90
MEMORY,Sony15,84,-1,94
CURSOR_RIGHT,Sony15,84,-1,99
RESET,Sony15,84,-1,123
