functionname,protocol,device,subdevice,function
1,Sony12,2,-1,0
2,Sony12,2,-1,1
3,Sony12,2,-1,2
4,Sony12,2,-1,3
5,Sony12,2,-1,4
6,Sony12,2,-1,5
7,Sony12,2,-1,6
8,Sony12,2,-1,7
9,Sony12,2,-1,8
0,Sony12,2,-1,9
10,Sony12,2,-1,9
11,Sony12,2,-1,10
ENTER,Sony12,2,-1,11
12,Sony12,2,-1,11
13,Sony12,2,-1,12
14,Sony12,2,-1,13
CHANNEL +,Sony12,2,-1,16
CH+,Sony12,2,-1,16
CHANNEL UP,Sony12,2,-1,16
CH-,Sony12,2,-1,16
CHANNEL -,Sony12,2,-1,17
CH-,Sony12,2,-1,17
CHANNEL DOWN,Sony12,2,-1,17
POWER,Sony12,2,-1,21
EJECT,Sony12,2,-1,22
AUDIO MONITOR,Sony12,2,-1,23
STOP,Sony12,2,-1,24
PAUSE,Sony12,2,-1,25
PAUSE II,Sony12,2,-1,25
PLAY,Sony12,2,-1,26
REWIND <<,Sony12,2,-1,27
REV <<,Sony12,2,-1,27
<< REWIND,Sony12,2,-1,27
FAST FORWARD >>,Sony12,2,-1,28
FF >>,Sony12,2,-1,28
>> FAST FORWARD,Sony12,2,-1,28
RECORD,Sony12,2,-1,29
RECORD PAUSE,Sony12,2,-1,30
TRACKING AUTO/MANUAL,Sony12,2,-1,39
AUTO/MANUAL TRACKING,Sony12,2,-1,39
SEARCH <<,Sony12,2,-1,40
<< SEARCH,Sony12,2,-1,40
SEARCH >>,Sony12,2,-1,41
>> SEARCH,Sony12,2,-1,41
TV/VTR,Sony12,2,-1,42
VTR,Sony12,2,-1,42
TV/VCR,Sony12,2,-1,42
TV/VIDEO,Sony12,2,-1,42
VTR,Sony12,2,-1,45
POWER ON,Sony12,2,-1,46
POWER ON VTR 1,Sony12,2,-1,46
ON,Sony12,2,-1,46
POWER OFF,Sony12,2,-1,47
POWER OFF VTR 1,Sony12,2,-1,47
OFF,Sony12,2,-1,47
FRAME <<,Sony12,2,-1,48
<< FRAME,Sony12,2,-1,48
FRAME >>,Sony12,2,-1,49
>> FRAME,Sony12,2,-1,49
SLOW MOTION +,Sony12,2,-1,61
SLOW >>,Sony12,2,-1,61
SLOW MOTION -,Sony12,2,-1,62
SLOW <<,Sony12,2,-1,62
COUNTER REMAIN,Sony12,2,-1,65
CURSOR UP,Sony12,2,-1,66
CURSER UP,Sony12,2,-1,66
CURSOR DOWN,Sony12,2,-1,67
CURSER DOWN,Sony12,2,-1,67
TRACKING +,Sony12,2,-1,68
TRACKING -,Sony12,2,-1,69
COUNTER RESET,Sony12,2,-1,70
INDEX MARK,Sony12,2,-1,72
INDEX ERASE,Sony12,2,-1,73
MENU,Sony12,2,-1,77
INPUT SELECT,Sony12,2,-1,79
EXECUTE,Sony12,2,-1,81
OK,Sony12,2,-1,81
QUICK TIMER,Sony12,2,-1,82
INPUT,Sony12,2,-1,83
INDEX SEARCH >>,Sony12,2,-1,86
FAST FORWARD >>,Sony12,2,-1,86
INDEX SEARCH <<,Sony12,2,-1,87
REWIND <<,Sony12,2,-1,87
TAPE SPEED,Sony12,2,-1,88
SP/EP,Sony12,2,-1,88
DISPLAY,Sony12,2,-1,90
SKIP,Sony12,2,-1,93
SMART QUE,Sony12,2,-1,93
CURSOR RIGHT,Sony12,2,-1,97
CURSER RIGHT,Sony12,2,-1,97
CURSOR LEFT,Sony12,2,-1,98
CURSER LEFT,Sony12,2,-1,98
TIMER REC CLEAR,Sony12,2,-1,99
CEAR,Sony12,2,-1,99
TIMER CLEAR,Sony12,2,-1,99
TIMER REC ON/OFF,Sony12,2,-1,101
TIMER ON/OFF,Sony12,2,-1,101
INSERT AUDIO,Sony12,2,-1,104
INSERT VIDEO,Sony12,2,-1,105
HIGH SPEED REWIND,Sony12,2,-1,125
HI-SPEED REWIND,Sony12,2,-1,125
