functionname,protocol,device,subdevice,function
0,NEC,2,2,0
1,NEC,2,2,1
2,NEC,2,2,2
3,NEC,2,2,3
4,NEC,2,2,4
5,NEC,2,2,5
6,NEC,2,2,6
7,NEC,2,2,7
8,NEC,2,2,8
9,NEC,2,2,9
POWER,NEC,2,2,10
UP,NEC,2,2,11
MAIL,NEC,2,2,12
OK,NEC,2,2,13
DOWN,NEC,2,2,14
STOP,NEC,2,2,15
RIGHT,NEC,2,2,16
LEFT,NEC,2,2,17
FF,NEC,2,2,18
NEXT,NEC,2,2,19
BACK,NEC,2,2,20
CH+,NEC,2,2,21
MENU,NEC,2,2,22
CH-,NEC,2,2,24
MUTE,NEC,2,2,25
FAV,NEC,2,2,26
LIST,NEC,2,2,27
EPG,NEC,2,2,64
VOL+,NEC,2,2,65
VOL-,NEC,2,2,66
TTX,NEC,2,2,67
AUDIO,NEC,2,2,68
TV,NEC,2,2,69
HOME,NEC,2,2,70
REW,NEC,2,2,72
PREV,NEC,2,2,76
REC,NEC,2,2,80
P+,NEC,2,2,81
P-,NEC,2,2,82
PAUSE,NEC,2,2,84
OPT,NEC,2,2,85
PLAY,NEC,2,2,88
RED,NEC,2,2,97
GREEN,NEC,2,2,98
YELLOW,NEC,2,2,99
BLUE,NEC,2,2,100
SUB,NEC,2,2,101
EXIT,NEC,2,2,103
INFO,NEC,2,2,104
