functionname,protocol,device,subdevice,function
KEY_RIGHT,NEC,4,203,1
KEY_SELECT,NEC,4,203,2
KEY_2,NEC,4,203,3
KEY_ARCHIVE,NEC,4,203,5
KEY_UP,NEC,4,203,6
KEY_5,NEC,4,203,7
KEY_HOME,NEC,4,203,9
KEY_DOWN,NEC,4,203,10
KEY_FORWARD,NEC,4,203,13
KEY_REWIND,NEC,4,203,14
KEY_SETUP,NEC,4,203,15
KEY_NEXT,NEC,4,203,17
KEY_PREVIOUS,NEC,4,203,18
KEY_MODE,NEC,4,203,19
KEY_SLOW,NEC,4,203,21
KEY_ANGLE,NEC,4,203,22
KEY_8,NEC,4,203,23
KEY_ZOOM,NEC,4,203,25
KEY_AUDIO,NEC,4,203,26
KEY_0,NEC,4,203,27
KEY_BLUE,NEC,4,203,29
KEY_GREEN,NEC,4,203,30
KEY_1,NEC,4,203,65
KEY_3,NEC,4,203,66
KEY_LEFT,NEC,4,203,67
KEY_EJECTCD,NEC,4,203,68
KEY_4,NEC,4,203,69
KEY_6,NEC,4,203,70
KEY_BACK,NEC,4,203,71
KEY_FILE,NEC,4,203,72
KEY_POWER,NEC,4,203,74
KEY_INFO,NEC,4,203,75
KEY_STOP,NEC,4,203,76
KEY_SUSPEND,NEC,4,203,77
KEY_PAGEUP,NEC,4,203,78
KEY_TITLE,NEC,4,203,79
KEY_PLAY,NEC,4,203,80
KEY_MUTE,NEC,4,203,81
KEY_PAGEDOWN,NEC,4,203,82
KEY_MENU,NEC,4,203,83
KEY_PAUSE,NEC,4,203,84
KEY_7,NEC,4,203,85
KEY_9,NEC,4,203,86
KEY_AGAIN,NEC,4,203,87
KEY_SUBTITLE,NEC,4,203,88
KEY_DELETE,NEC,4,203,89
KEY_CAPSLOCK,NEC,4,203,90
KEY_TIME,NEC,4,203,91
KEY_YELLOW,NEC,4,203,92
KEY_RED,NEC,4,203,95
