functionname,protocol,device,subdevice,function
KEY_POWER,Aiwa,34,1,0
KEY_CD,Aiwa,34,1,1
KEY_TAPE,Aiwa,34,1,2
Tuner_(Band),Aiwa,34,1,3
KEY_VOLUMEDOWN,Aiwa,34,1,6
KEY_VOLUMEUP,Aiwa,34,1,7
KEY_PLAYPAUSE,Aiwa,34,1,8
KEY_STOP,Aiwa,34,1,9
KEY_NEXT,Aiwa,34,1,10
KEY_PREVIOUS,Aiwa,34,1,11
Repeat/Preset_up,Aiwa,34,1,12
Shuffle,Aiwa,34,1,13
EEPS,Aiwa,34,1,14
Time_Mode,Aiwa,34,1,15
Memory/Time_set,Aiwa,34,1,16
KEY_MUTE,Aiwa,34,1,17
FM_Mode,Aiwa,34,1,18
KEY_OPEN,Aiwa,34,1,19
Intro_Check,Aiwa,34,1,20
KEY_0,Aiwa,34,1,21
KEY_1,Aiwa,34,1,22
KEY_2,Aiwa,34,1,23
KEY_3,Aiwa,34,1,24
KEY_4,Aiwa,34,1,25
KEY_5,Aiwa,34,1,26
KEY_6,Aiwa,34,1,27
KEY_7,Aiwa,34,1,28
KEY_8,Aiwa,34,1,29
KEY_9,Aiwa,34,1,30
KEY_10CHANNELSUP,Aiwa,34,1,31
