functionname,protocol,device,subdevice,function
purple,NECx,5,5,0
KEY_POWER,NECx,5,5,2
KEY_1,NECx,5,5,4
KEY_2,NECx,5,5,5
KEY_3,NECx,5,5,6
KEY_4,NECx,5,5,8
KEY_5,NECx,5,5,9
KEY_6,NECx,5,5,10
KEY_7,NECx,5,5,12
KEY_8,NECx,5,5,13
KEY_9,NECx,5,5,14
KEY_CHANNELDOWN,NECx,5,5,16
KEY_0,NECx,5,5,17
KEY_CHANNELUP,NECx,5,5,18
KEY_RIGHT,NECx,5,5,19
KEY_RECORD,NECx,5,5,20
KEY_STOP,NECx,5,5,21
KEY_LEFT,NECx,5,5,23
KEY_REWIND,NECx,5,5,24
KEY_PLAY,NECx,5,5,25
KEY_PAUSE,NECx,5,5,25
KEY_FORWARD,NECx,5,5,26
vt+,NECx,5,5,30
KEY_MENU,NECx,5,5,31
vton,NECx,5,5,34
KEY_GREEN,NECx,5,5,40
KEY_BLUE,NECx,5,5,43
KEY_UP,NECx,5,5,44
KEY_DOWN,NECx,5,5,45
KEY_RED,NECx,5,5,49
vtscreen,NECx,5,5,49
KEY_MUTE,NECx,5,5,58
KEY_EXIT,NECx,5,5,61
KEY_VOLUMEDOWN,NECx,5,5,64
vtsize,NECx,5,5,64
ent,NECx,5,5,67
KEY_OK,NECx,5,5,67
KEY_YELLOW,NECx,5,5,85
av,NECx,5,5,89
vtsplit,NECx,5,5,89
showview,NECx,5,5,96
KEY_VOLUMEUP,NECx,5,5,99
