functionname,protocol,device,subdevice,function
R1,NEC,64,-1,1
G1,NEC,64,-1,2
B1,NEC,64,-1,3
R2,NEC,64,-1,4
G2,NEC,64,-1,5
B2,NEC,64,-1,6
R3,NEC,64,-1,7
G3,NEC,64,-1,8
B3,NEC,64,-1,9
R4,NEC,64,-1,10
G4,NEC,64,-1,11
KEY_CANCEL,NEC,64,-1,12
R5,NEC,64,-1,13
G5,NEC,64,-1,14
Strobe,NEC,64,-1,15
Smooth,NEC,64,-1,16
Flash,NEC,64,-1,17
Fade,NEC,64,-1,19
Off,NEC,64,-1,21
B4,NEC,64,-1,23
KEY_SETUP,NEC,64,-1,24
W1,NEC,64,-1,25
W5,NEC,64,-1,26
W3,NEC,64,-1,27
KEY_POWER,NEC,64,-1,28
B5,NEC,64,-1,29
W4,NEC,64,-1,30
W2,NEC,64,-1,31
