functionname,protocol,device,subdevice,function
1,Sony20,26,154,0
2,Sony20,26,154,1
3,Sony20,26,154,2
4,Sony20,26,154,3
5,Sony20,26,154,4
6,Sony20,26,154,5
7,Sony20,26,154,6
8,Sony20,26,154,7
9,Sony20,26,154,8
0,Sony20,26,154,9
CHANNEL +,Sony20,26,154,16
CHANNEL -,Sony20,26,154,17
PAUSE,Sony20,26,154,25
PLAY,Sony20,26,154,26
REW,Sony20,26,154,27
FF,Sony20,26,154,28
RECORD,Sony20,26,154,29
SELECT,Sony20,26,154,94
CURSOR UP,Sony20,26,154,95
CURSOR DOWN,Sony20,26,154,96
CURSOR RIGHT,Sony20,26,154,97
CURSOR LEFT,Sony20,26,154,98
TIVO,Sony20,26,154,111
