functionname,protocol,device,subdevice,function
KEY_CHANNELUP,NEC,4,255,0
KEY_CHANNELDOWN,NEC,4,255,1
KEY_VOLUMEUP,NEC,4,255,2
KEY_VOLUMEDOWN,NEC,4,255,3
TV/Radio,NEC,4,255,4
Sound,NEC,4,255,5
KEY_PAUSE,NEC,4,255,6
KEY_SUBTITLE,NEC,4,255,7
TV/STB,NEC,4,255,8
KEY_FAVORITES,NEC,4,255,9
KEY_POWER,NEC,4,255,10
KEY_RED,NEC,4,255,11
KEY_MUTE,NEC,4,255,12
KEY_GREEN,NEC,4,255,13
KEY_YELLOW,NEC,4,255,14
KEY_BLUE,NEC,4,255,15
KEY_0,NEC,4,255,16
KEY_1,NEC,4,255,17
KEY_2,NEC,4,255,18
KEY_3,NEC,4,255,19
KEY_4,NEC,4,255,20
KEY_5,NEC,4,255,21
KEY_6,NEC,4,255,22
KEY_7,NEC,4,255,23
KEY_8,NEC,4,255,24
KEY_9,NEC,4,255,25
KEY_MENU,NEC,4,255,26
KEY_INFO,NEC,4,255,27
KEY_EXIT,NEC,4,255,28
KEY_INFO,NEC,4,255,29
KEY_AGAIN,NEC,4,255,30
KEY_OK,NEC,4,255,31
M1,NEC,4,255,64
M2,NEC,4,255,65
M3,NEC,4,255,66
UHF,NEC,4,255,67
KEY_SLEEP,NEC,4,255,68
KEY_TEXT,NEC,4,255,71
KEY_SAT,NEC,4,255,94
