functionname,protocol,device,subdevice,function
KEY_0,NEC,64,-1,0
KEY_1,NEC,64,-1,1
KEY_2,NEC,64,-1,2
KEY_3,NEC,64,-1,3
KEY_4,NEC,64,-1,4
KEY_5,NEC,64,-1,5
KEY_6,NEC,64,-1,6
KEY_7,NEC,64,-1,7
KEY_8,NEC,64,-1,8
KEY_9,NEC,64,-1,9
KEY_SUBTITLE,NEC,64,-1,12
expand,NEC,64,-1,13
KEY_MUTE,NEC,64,-1,16
KEY_POWER,NEC,64,-1,18
audio_stereo_2channel,NEC,64,-1,19
KEY_CYCLEWINDOWS,NEC,64,-1,20
KEY_TIME,NEC,64,-1,21
KEY_INFO,NEC,64,-1,22
KEY_TEXT,NEC,64,-1,23
KEY_UP,NEC,64,-1,25
KEY_VOLUMEUP,NEC,64,-1,26
KEY_CHANNELUP,NEC,64,-1,27
KEY_DOWN,NEC,64,-1,29
KEY_VOLUMEDOWN,NEC,64,-1,30
KEY_CHANNELDOWN,NEC,64,-1,31
KEY_OK,NEC,64,-1,33
stillpicture,NEC,64,-1,34
KEY_RIGHT,NEC,64,-1,64
KEY_LEFT,NEC,64,-1,66
KEY_EXIT,NEC,64,-1,67
atv/dtv,NEC,64,-1,68
KEY_EPG,NEC,64,-1,69
KEY_RED,NEC,64,-1,72
KEY_GREEN,NEC,64,-1,73
KEY_YELLOW,NEC,64,-1,74
KEY_BLUE,NEC,64,-1,75
squash,NEC,64,-1,83
question,NEC,64,-1,84
KEY_MENU,NEC,64,-1,91
ad,NEC,64,-1,98
picture_preset,NEC,64,-1,99
KEY_BACK,NEC,64,-1,100
