functionname,protocol,device,subdevice,function
KEY_0,Pioneer,64,-1,0
KEY_1,Pioneer,64,-1,1
KEY_2,Pioneer,64,-1,2
KEY_3,Pioneer,64,-1,3
KEY_4,Pioneer,64,-1,4
KEY_5,Pioneer,64,-1,5
KEY_6,Pioneer,64,-1,6
KEY_7,Pioneer,64,-1,7
KEY_8,Pioneer,64,-1,8
KEY_9,Pioneer,64,-1,9
KEY_0,Pioneer,64,-1,10
KEY_MUTE,Pioneer,64,-1,16
KEY_SEARCH,Pioneer,64,-1,17
KEY_POWER,Pioneer,64,-1,18
PROG,Pioneer,64,-1,22
KEY_VOLUMEUP,Pioneer,64,-1,26
KEY_CHANNELUP,Pioneer,64,-1,27
KEY_VOLUMEDOWN,Pioneer,64,-1,30
KEY_CHANNELDOWN,Pioneer,64,-1,31
