functionname,protocol,device,subdevice,function
GROUP,NEC1,1,249,0
ADD,NEC1,1,249,1
CLEAR,NEC1,1,249,2
POWER,NEC1,1,249,3
1,NEC1,1,249,4
2,NEC1,1,249,5
3,NEC1,1,249,6
4,NEC1,1,249,7
5,NEC1,1,249,8
6,NEC1,1,249,9
7,NEC1,1,249,10
8,NEC1,1,249,11
9,NEC1,1,249,12
10,NEC1,1,249,13
11,NEC1,1,249,14
12,NEC1,1,249,15
13,NEC1,1,249,16
14,NEC1,1,249,17
15,NEC1,1,249,18
16,NEC1,1,249,19
MUTE,NEC1,1,249,20
ADD FAVORITE,NEC1,1,249,21
JUMP -,NEC1,1,249,22
JUMP +,NEC1,1,249,23
VOLUME +,NEC1,1,249,24
SKIP ,<,NEC1,1,249,25
SKIP >,,NEC1,1,249,26
VOLUME -,NEC1,1,249,27
RANDOM,NEC1,1,249,28
STOP,NEC1,1,249,29
PAUSE,NEC1,1,249,30
REPEAT,NEC1,1,249,31
A,NEC1,1,249,64
B,NEC1,1,249,65
C,NEC1,1,249,66
D,NEC1,1,249,67
TITLE,NEC1,1,249,71
ARTIST,NEC1,1,249,72
ALBUM,NEC1,1,249,73
GENRE,NEC1,1,249,74
NET,NEC1,1,249,75
LISTS,NEC1,1,249,76
PLAY,NEC1,1,249,79
