functionname,protocol,device,subdevice,function
KEY_0,RC5,5,-1,0
KEY_1,RC5,5,-1,1
KEY_2,RC5,5,-1,2
KEY_3,RC5,5,-1,3
KEY_4,RC5,5,-1,4
KEY_5,RC5,5,-1,5
KEY_6,RC5,5,-1,6
KEY_7,RC5,5,-1,7
KEY_8,RC5,5,-1,8
KEY_9,RC5,5,-1,9
KEY_POWER,RC5,5,-1,12
KEY_RED,RC5,5,-1,14
KEY_RIGHT,RC5,5,-1,16
KEY_LEFT,RC5,5,-1,17
KEY_CHANNELUP,RC5,5,-1,20
KEY_CHANNELDOWN,RC5,5,-1,21
KEY_UP,RC5,5,-1,32
KEY_DOWN,RC5,5,-1,33
KEY_VOLUMEDOWN,RC5,5,-1,43
KEY_MENU,RC5,5,-1,44
KEY_OK,RC5,5,-1,45
KEY_BACK,RC5,5,-1,46
KEY_GREEN,RC5,5,-1,47
KEY_PAUSE,RC5,5,-1,48
FastRew,RC5,5,-1,50
KEY_FASTFORWARD,RC5,5,-1,52
KEY_PLAY,RC5,5,-1,53
KEY_STOP,RC5,5,-1,54
KEY_RECORD,RC5,5,-1,55
KEY_YELLOW,RC5,5,-1,59
KEY_BLUE,RC5,5,-1,60
KEY_VOLUMEUP,RC5,5,-1,63
