functionname,protocol,device,subdevice,function
KEY_VOLUMEUP,Panasonic_Old,0,-1,1
I/II,Panasonic_Old,0,-1,3
arrow,Panasonic_Old,0,-1,3
KEY_MUTE,Panasonic_Old,0,-1,11
KEY_VOLUMEDOWN,Panasonic_Old,0,-1,13
KEY_1,Panasonic_Old,0,-1,16
KEY_2,Panasonic_Old,0,-1,17
KEY_3,Panasonic_Old,0,-1,18
KEY_4,Panasonic_Old,0,-1,19
KEY_5,Panasonic_Old,0,-1,20
KEY_6,Panasonic_Old,0,-1,21
KEY_7,Panasonic_Old,0,-1,22
KEY_8,Panasonic_Old,0,-1,23
KEY_9,Panasonic_Old,0,-1,24
KEY_0,Panasonic_Old,0,-1,25
KEY_RECORD,Panasonic_Old,0,-1,28
KEY_REWIND,Panasonic_Old,0,-1,29
KEY_POWER,Panasonic_Old,0,-1,32
ch\*p/c,Panasonic_Old,0,-1,33
set,Panasonic_Old,0,-1,33
KEY_CHANNELUP,Panasonic_Old,0,-1,34
KEY_CHANNELDOWN,Panasonic_Old,0,-1,35
KEY_2,Panasonic_Old,0,-1,36
KEY_1,Panasonic_Old,0,-1,38
KEY_FASTFORWARD,Panasonic_Old,0,-1,39
tv/av,Panasonic_Old,0,-1,42
KEY_STOP,Panasonic_Old,0,-1,52
KEY_PLAY,Panasonic_Old,0,-1,57
KEY_PAUSE,Panasonic_Old,0,-1,59
