functionname,protocol,device,subdevice,function
KEY_UP,NEC,32,-1,2
KEY_BACK,NEC,32,-1,5
KEY_MUTE,NEC,32,-1,6
KEY_BACK,NEC,32,-1,7
KEY_LEFT,NEC,32,-1,7
KEY_OK,NEC,32,-1,8
KEY_RIGHT,NEC,32,-1,9
KEY_VOLUMEDOWN,NEC,32,-1,10
KEY_DOWN,NEC,32,-1,14
KEY_MENU,NEC,32,-1,16
KEY_1,NEC,32,-1,18
KEY_2,NEC,32,-1,19
KEY_3,NEC,32,-1,20
KEY_4,NEC,32,-1,21
KEY_VOLUMEUP,NEC,32,-1,23
KEY_5,NEC,32,-1,24
KEY_6,NEC,32,-1,25
KEY_7,NEC,32,-1,26
KEY_8,NEC,32,-1,27
KEY_RED,NEC,32,-1,29
KEY_9,NEC,32,-1,30
KEY_0,NEC,32,-1,31
KEY_GREEN,NEC,32,-1,64
KEY_YELLOW,NEC,32,-1,65
KEY_BLUE,NEC,32,-1,66
