functionname,protocol,device,subdevice,function
KEY_0,RC5,10,-1,0
KEY_1,RC5,10,-1,1
KEY_2,RC5,10,-1,2
KEY_3,RC5,10,-1,3
KEY_4,RC5,10,-1,4
KEY_5,RC5,10,-1,5
KEY_6,RC5,10,-1,6
KEY_7,RC5,10,-1,7
KEY_8,RC5,10,-1,8
KEY_9,RC5,10,-1,9
KEY_POWER,RC5,10,-1,12
KEY_PAUSE,RC5,10,-1,19
KEY_LAST,RC5,10,-1,20
MYSHOWS,RC5,10,-1,21
THUMBSDOWN,RC5,10,-1,22
THUMBSUP,RC5,10,-1,23
KEY_SLOW,RC5,10,-1,24
KEY_CLEAR,RC5,10,-1,25
KEY_SUBTITLE,RC5,10,-1,26
KEY_CHANNELUP,RC5,10,-1,32
KEY_CHANNELDOWN,RC5,10,-1,33
KEY_ZOOM,RC5,10,-1,34
KEY_BACK,RC5,10,-1,42
KEY_FORWARD,RC5,10,-1,43
KEY_INFO,RC5,10,-1,47
KEY_PLAY,RC5,10,-1,48
KEY_REWIND,RC5,10,-1,50
KEY_FASTFORWARD,RC5,10,-1,52
KEY_STOP,RC5,10,-1,54
KEY_RECORD,RC5,10,-1,55
KEY_HOME,RC5,10,-1,79
KEY_UP,RC5,10,-1,80
KEY_DOWN,RC5,10,-1,81
KEY_EPG,RC5,10,-1,82
KEY_TV,RC5,10,-1,83
KEY_LEFT,RC5,10,-1,85
KEY_RIGHT,RC5,10,-1,86
KEY_OK,RC5,10,-1,87
KEY_TEXT,RC5,10,-1,106
KEY_RED,RC5,10,-1,107
KEY_GREEN,RC5,10,-1,108
KEY_YELLOW,RC5,10,-1,109
KEY_BLUE,RC5,10,-1,110
