functionname,protocol,device,subdevice,function
KEY_AB,NEC,0,-1,0
KEY_KPMINUS,NEC,0,-1,1
KEY_5,NEC,0,-1,3
KEY_POWER,NEC,0,-1,4
KEY_RIGHT,NEC,0,-1,5
KEY_6,NEC,0,-1,9
KEY_BACK,NEC,0,-1,10
KEY_LEFT,NEC,0,-1,12
KEY_AUDIO,NEC,0,-1,14
KEY_SUBTITLE,NEC,0,-1,15
KEY_RESTART,NEC,0,-1,16
KEY_3,NEC,0,-1,18
KEY_2,NEC,0,-1,23
KEY_VOLUMEUP,NEC,0,-1,24
KEY_9,NEC,0,-1,25
KEY_MUTE,NEC,0,-1,26
KEY_7,NEC,0,-1,28
KEY_STOP,NEC,0,-1,30
KEY_0,NEC,0,-1,49
KEY_8,NEC,0,-1,50
KEY_SHUFFLE,NEC,0,-1,51
KEY_VOLUMEDOWN,NEC,0,-1,65
KEY_1,NEC,0,-1,69
KEY_KPPLUS,NEC,0,-1,72
KEY_FORWARD,NEC,0,-1,75
KEY_PLAYPAUSE,NEC,0,-1,76
KEY_DOWN,NEC,0,-1,77
KEY_UP,NEC,0,-1,78
KEY_4,NEC,0,-1,79
KEY_PAGEDOWN,NEC,0,-1,80
KEY_PAGEUP,NEC,0,-1,88
KEY_INFO,NEC,0,-1,90
KEY_HOME,NEC,0,-1,91
KEY_REWIND,NEC,0,-1,92
