functionname,protocol,device,subdevice,function
KEY_STOP,NEC,0,-1,0
KEY_MENU,NEC,0,-1,1
KEY_1,NEC,0,-1,2
KEY_SETUP,NEC,0,-1,3
KEY_DOWN,NEC,0,-1,4
KEY_2,NEC,0,-1,5
KEY_MUTE,NEC,0,-1,6
display,NEC,0,-1,9
KEY_5,NEC,0,-1,10
shift,NEC,0,-1,12
goto,NEC,0,-1,13
KEY_7,NEC,0,-1,14
plus_ten,NEC,0,-1,15
KEY_SLEEP,NEC,0,-1,16
KEY_UP,NEC,0,-1,17
KEY_LEFT,NEC,0,-1,18
KEY_0,NEC,0,-1,20
KEY_PLAY,NEC,0,-1,21
KEY_ENTER,NEC,0,-1,22
KEY_2step,NEC,0,-1,23
KEY_REWIND,NEC,0,-1,25
KEY_8,NEC,0,-1,26
KEY_FORWARD,NEC,0,-1,27
KEY_9,NEC,0,-1,28
KEY_TITLE,NEC,0,-1,29
KEY_6,NEC,0,-1,30
KEY_SUBTITLE,NEC,0,-1,31
KEY_AGAIN,NEC,0,-1,64
KEY_NEXT,NEC,0,-1,72
KEY_RIGHT,NEC,0,-1,76
KEY_4,NEC,0,-1,77
KEY_3,NEC,0,-1,84
