functionname,protocol,device,subdevice,function
VCR1,NEC1,122,-1,15
VCR2,NEC1,122,-1,19
PHONO,NEC1,122,-1,20
CD,NEC1,122,-1,21
TUNER,NEC1,122,-1,22
DVD/LD,NEC1,122,-1,23
MD/TAPE1,NEC1,122,-1,24
VOLUME +,NEC1,122,-1,26
VOLUME -,NEC1,122,-1,27
MUTE,NEC1,122,-1,28
POWER ON,NEC1,122,-1,29
POWER OFF,NEC1,122,-1,30
TV/DBS,NEC1,122,-1,84
V-AUX,NEC1,122,-1,85
EFFET ON/OFF,NEC1,122,-1,86
EXTER.DEC,NEC1,122,-1,86
1,NEC1,122,-1,136
2,NEC1,122,-1,137
3,NEC1,122,-1,138
4,NEC1,122,-1,139
5,NEC1,122,-1,140
6,NEC1,122,-1,141
7,NEC1,122,-1,142
8,NEC1,122,-1,143
9,NEC1,122,-1,144
10,NEC1,122,-1,145
11,NEC1,122,-1,146
12,NEC1,122,-1,147
ON SCREEN,NEC1,122,-1,194
