functionname,protocol,device,subdevice,function
POWER ON,NEC1,128,55,32
OPEN/CLOSE,NEC1,128,55,33
PLAY,NEC1,128,55,34
PAUSE,NEC1,128,55,35
STOP,NEC1,128,55,37
BROADCAST,NEC1,128,55,49
RANDOM,NEC1,128,55,50
REPEAT,NEC1,128,55,51
ARTISTS,NEC1,128,55,64
ALBUMS,NEC1,128,55,65
GENRES,NEC1,128,55,66
ALL SONGS,NEC1,128,55,67
PLAYLIST,NEC1,128,55,68
SONG STATISTICS,NEC1,128,55,69
BOOKMARKS,NEC1,128,55,70
CD,NEC1,128,55,71
RECORDING,NEC1,128,55,72
CLIENT PLAYBACK,NEC1,128,55,73
EXT INPUTS,NEC1,128,55,75
PLAY INFO,NEC1,128,55,78
TOP MENU,NEC1,128,55,80
CURSOR UP,NEC1,128,55,82
CURSOR DOWN,NEC1,128,55,83
CURSOE LEFT,NEC1,128,55,84
CURSOR RIGHT,NEC1,128,55,85
ENTER,NEC1,128,55,86
BACK,NEC1,128,55,87
SUB MENU,NEC1,128,55,88
PAGE +,NEC1,128,55,89
PAGE -,NEC1,128,55,90
TIME,NEC1,128,55,95
POWER,NEC1,128,55,128
PLAY,NEC1,128,55,130
PAUSE,NEC1,128,55,131
STOP,NEC1,128,55,133
GROUP -,NEC1,128,55,138
GROUP +,NEC1,128,55,139
FAVORITES 1,NEC1,128,55,140
FAVORITES 2,NEC1,128,55,141
FAVORITES 3,NEC1,128,55,142
FAVORITES 4,NEC1,128,55,143
BOOKMARK,NEC1,128,55,145
RANDOM,NEC1,128,55,146
REPEAT,NEC1,128,55,147
INPUT,NEC1,128,55,152
MUTE,NEC1,128,55,157
VOL -,NEC1,128,55,158
VOL +,NEC1,128,55,159
PLAY INFO,NEC1,128,55,174
CURSOR UP,NEC1,128,55,178
CURSOR DOWN,NEC1,128,55,179
CURSOR LEFT,NEC1,128,55,180
CURSOR RIGHT,NEC1,128,55,181
ENTER,NEC1,128,55,182
LIBRARY,NEC1,128,55,189
OFF TIMER,NEC1,128,55,190
ON TIMER,NEC1,128,55,191
