functionname,protocol,device,subdevice,function
POWER,NEC1,120,-1,15
PRESET +,NEC1,120,-1,27
PRESET -,NEC1,120,-1,28
VOLUME +,NEC1,120,-1,30
VOLUME -,NEC1,120,-1,31
AMP: LEVEL,NEC1,120,-1,72
INPUT: VCR,NEC1,120,-1,73
INPUT: DVD,NEC1,120,-1,74
INPUT: TUNER,NEC1,120,-1,75
SLEEP,NEC1,120,-1,79
AMP: STEREO,NEC1,120,-1,80
AMP: TEST,NEC1,120,-1,95
AMP: BASS BOOST,NEC1,120,-1,139
AMP: MATRIX 6.1,NEC1,120,-1,144
AMP: HALL,NEC1,120,-1,145
AMP: JAZZ,NEC1,120,-1,146
ROCK,NEC1,120,-1,147
AMP: ENTERTAINMENT,NEC1,120,-1,148
AMP: SPORTS,NEC1,120,-1,149
AMP: MONO MOVIE,NEC1,120,-1,150
AMP: MOVIE 1,NEC1,120,-1,151
AMP: MOVIE 2,NEC1,120,-1,152
AMP: DOLBY/DTS,NEC1,120,-1,153
AMP: SELECT,NEC1,120,-1,154
MUTE,NEC1,120,-1,156
AMP: SET MENU,NEC1,120,-1,157
INPUT: CD-R/MD,NEC1,120,-1,208
INPUT: VIDEO 2,NEC1,120,-1,222
INPUT: VIDEO 1,NEC1,120,-1,223
