functionname,protocol,device,subdevice,function
STANDBY/ON,NEC1,120,-1,15
POWER TOGGLE,NEC1,120,-1,15
PRESET1,NEC1,120,-1,17
PRESET2,NEC1,120,-1,18
PRESET3,NEC1,120,-1,19
PRESET4,NEC1,120,-1,20
PRESET5,NEC1,120,-1,21
PRESET6,NEC1,120,-1,22
PRESET7,NEC1,120,-1,23
PRESET8,NEC1,120,-1,24
PRESET UP,NEC1,120,-1,27
PRESET +,NEC1,120,-1,27
PRESET DOWN,NEC1,120,-1,28
VOLUME +,NEC1,120,-1,30
VOLUME -,NEC1,120,-1,31
VCR,NEC1,120,-1,73
DVD/CD,NEC1,120,-1,74
TUNER,NEC1,120,-1,75
SUBWOOF +,NEC1,120,-1,76
SUBWOOF -,NEC1,120,-1,77
SLEEP,NEC1,120,-1,79
STEREO,NEC1,120,-1,80
TEST,NEC1,120,-1,95
CENTER +,NEC1,120,-1,134
CENTER -,NEC1,120,-1,135
SURROUND +,NEC1,120,-1,136
SURROUND -,NEC1,120,-1,137
MATRIX 6.1,NEC1,120,-1,144
DOLBY/DTS,NEC1,120,-1,153
MUTE,NEC1,120,-1,156
SET MENU,NEC1,120,-1,157
MOVIE,NEC1,120,-1,217
MUSIC,NEC1,120,-1,218
SPORTS,NEC1,120,-1,219
GAME,NEC1,120,-1,220
VIDEO,NEC1,120,-1,223
