functionname,protocol,device,subdevice,function
TUNER FM,NEC1,125,-1,39
TUNER AM,NEC1,125,-1,40
INPUT XM,NEC1,125,-1,41
TUNER AUTO TUNE +,NEC1,125,-1,42
TUNER AUTO TUNE -,NEC1,125,-1,43
XM ALL CH SEARCH,NEC1,125,-1,44
XM CAT SEARCH,NEC1,125,-1,45
XM PRESET SEARCH,NEC1,125,-1,46
Z2 INPUT XM,NEC1,125,-1,47
XM PRESET +,NEC1,125,-1,49
XM PRESET -,NEC1,125,-1,50
XM CAT +,NEC1,125,-1,51
XM SRCH MODE,NEC1,125,-1,52
XM CAT -,NEC1,125,-1,53
XM MEMORY,NEC1,125,-1,56
XM DISPLAY,NEC1,125,-1,57
XM ENTER,NEC1,125,-1,63
Z2 POWER OFF,NEC1,125,-1,99
Z2 POWER ON,NEC1,125,-1,100
Z2 INPUT PHONO,NEC1,125,-1,101
Z2 INPUT TUNER,NEC1,125,-1,102
Z2 INPUT CD,NEC1,125,-1,103
Z2 INPUT MD/TAPE,NEC1,125,-1,106
Z2 INPUT DTV/CBL,NEC1,125,-1,108
Z2 INPUT VCR,NEC1,125,-1,109
Z2 INPUT DVD,NEC1,125,-1,111
VOLUME +,NEC1,125,-1,112
Z2 VOLUME +,NEC1,125,-1,112
VOLUME -,NEC1,125,-1,113
Z2 VOLUME -,NEC1,125,-1,113
MUTE,NEC1,125,-1,114
Z2 MUTE,NEC1,125,-1,114
VCR 1,NEC1,125,-1,129
INPUT VCR,NEC1,125,-1,129
VCR 2,NEC1,125,-1,130
LASER DISC,NEC1,125,-1,131
LD,NEC1,125,-1,131
TV/DBS,NEC1,125,-1,132
INPUT DTV/CBL,NEC1,125,-1,132
DVD/VCR 3,NEC1,125,-1,133
VCR3/DVD,NEC1,125,-1,133
CD,NEC1,125,-1,135
INPUT CD,NEC1,125,-1,135
PHONO,NEC1,125,-1,136
INPUT PHONO,NEC1,125,-1,136
TUNER,NEC1,125,-1,137
INPUT TUNER,NEC1,125,-1,137
V-AUX,NEC1,125,-1,138
MD/TAPE 1,NEC1,125,-1,139
TAPE 1,NEC1,125,-1,139
INPUT MD/TAPE,NEC1,125,-1,139
TAPE 2/MON./EXTERNAL,NEC1,125,-1,140
TAPE 2 MON,NEC1,125,-1,140
VOLUME +,NEC1,125,-1,141
VOLUME -,NEC1,125,-1,142
POWER ON/OFF,NEC1,125,-1,143
POWER ON,NEC1,125,-1,144
POWER OFF,NEC1,125,-1,145
SLEEP,NEC1,125,-1,147
MUTE,NEC1,125,-1,148
MUTING,NEC1,125,-1,148
INPUT DVD,NEC1,125,-1,151
MENU DOWN,NEC1,125,-1,156
MENU UP,NEC1,125,-1,157
MENU RIGHT,NEC1,125,-1,158
MENU LEFT,NEC1,125,-1,159
XM 0,NEC1,125,-1,160
XM 1,NEC1,125,-1,161
XM 2,NEC1,125,-1,162
XM 3,NEC1,125,-1,163
XM 4,NEC1,125,-1,164
XM 5,NEC1,125,-1,165
XM 6,NEC1,125,-1,166
XM 7,NEC1,125,-1,167
XM 8,NEC1,125,-1,168
XM 9,NEC1,125,-1,169
TUNER PRESET A,NEC1,125,-1,172
TUNER PRESET B,NEC1,125,-1,173
TUNER PRESET C,NEC1,125,-1,174
TUNER PRESET D,NEC1,125,-1,175
TUNER PRESET E,NEC1,125,-1,176
TUNER A-E/CAT.-,NEC1,125,-1,187
TUNER BAND,NEC1,125,-1,189
TUNER MEMORY,NEC1,125,-1,190
EFFECT ON/OFF,NEC1,125,-1,193
ON SCREEN,NEC1,125,-1,194
PARAMETER DOWN,NEC1,125,-1,196
PARAMETER UP,NEC1,125,-1,197
PARAMETER RIGHT,NEC1,125,-1,198
PARAMETER LEFT,NEC1,125,-1,199
REAR LEVEL +,NEC1,125,-1,200
REAR LEVEL -,NEC1,125,-1,201
TEST,NEC1,125,-1,202
CENTER LEVEL +,NEC1,125,-1,203
CENTER LEVEL -,NEC1,125,-1,204
FRONT LEVEL +,NEC1,125,-1,205
FRONT LEVEL -,NEC1,125,-1,206
HALL 1,NEC1,125,-1,208
HALL A/B,NEC1,125,-1,208
HALL 2,NEC1,125,-1,209
HALL C/D,NEC1,125,-1,209
CHURCH,NEC1,125,-1,210
HALL E/LIVE CONCERT,NEC1,125,-1,210
JAZZ CLUB,NEC1,125,-1,211
CHURCH-FREIBURG/TOKY,NEC1,125,-1,211
ROCK CONCERT,NEC1,125,-1,212
WAREHOUSE/ROXY THEAT,NEC1,125,-1,212
ENTERTAINMENT,NEC1,125,-1,213
CELL CLB/VILLAGE G,NEC1,125,-1,213
CONCERT VIDEO 1,NEC1,125,-1,214
RECITAL/CLASS OPERA,NEC1,125,-1,214
CONCERT VIDEO 2,NEC1,125,-1,215
POP ROCK/PAVILION,NEC1,125,-1,215
TV THEATER,NEC1,125,-1,216
VARIETY SPORTS/MONO,NEC1,125,-1,216
MOVIE THEATER 1,NEC1,125,-1,217
MUSICAL/SPECTACLE,NEC1,125,-1,217
MOVIE THEATER 2,NEC1,125,-1,218
ADVENTURE/GENERAL,NEC1,125,-1,218
PRO-LOGIC/DTS,NEC1,125,-1,219
NORMAL/ENHANCED,NEC1,125,-1,219
STANDBY/ON,NEC1,125,-1,224
