functionname,protocol,device,subdevice,function
SRCH MODE PRESET,NEC1-y1,127,1,0
HDRADIO: PRES MOD,NEC1-y1,127,1,0
SRCH MODE TUNING,NEC1-y1,127,1,1
HDRADIO: MAN MOD,NEC1-y1,127,1,1
OPERATION 11,NEC1-y1,127,1,2
SRCE: MZ PRESET -,NEC1-y1,127,1,2
SRCE: Z2 PRESET -,NEC1-y1,127,1,3
Z2 OPERATION 11,NEC1-y1,127,1,3
Z2 OPERATION 11,NEC1-y3,127,1,3
SRCE: Z3 PRESET -,NEC1-f16,127,1,4
Z3 SOURCE: OP 11,NEC1-y1,127,1,4
Z3 SOURCE: OP 11,NEC1-y3,127,1,4
SRCE: Z4 PRESET -,NEC1-y1,127,1,5
Z4 SOURCE: OP 11,NEC1-y1,127,1,5
Z4 SOURCE: OP 11,NEC1-y3,127,1,5
OPERATION 12,NEC1-y1,127,1,6
SRCE: MZ PRESET +,NEC1-y1,127,1,6
SRCE: Z2 PRESET +,NEC1-y1,127,1,7
Z2 OPERATION 12,NEC1-y1,127,1,7
Z2 OPERATION 12,NEC1-y3,127,1,7
SRCE: Z3 PRESET +,NEC1-y1,127,1,8
Z3 SOURCE: OP 12,NEC1-y1,127,1,8
Z3 SOURCE: OP 12,NEC1-y3,127,1,8
SRCE: Z4 PRESET +,NEC1-y1,127,1,9
Z4 SOURCE: OP 12,NEC1-y1,127,1,9
Z4 SOURCE: OP 12,NEC1-f16,127,1,9
A,NEC1-y1,127,1,10
SIRIUS PRESET A,NEC1-y1,127,1,10
SIRIUS: A,NEC1-y3,127,1,10
B,NEC1-y1,127,1,11
SIRIUS PRESET B,NEC1-y1,127,1,11
SIRIUS: B,NEC1-y1,127,1,11
SIRIUS: B,NEC1-y3,127,1,11
C,NEC1-y1,127,1,12
SIRIUS PRESET C,NEC1-y1,127,1,12
SIRIUS: C,NEC1-y1,127,1,12
SIRIUS: C,NEC1-y3,127,1,12
DOCK BLUETOOTH PAIR,NEC1,127,1,13
D,NEC1-y1,127,1,13
SIRIUS PRESET D,NEC1-y1,127,1,13
SIRIUS: D,NEC1-y1,127,1,13
SIRIUS: D,NEC1-y3,127,1,13
IPOD UP,NEC1,127,1,14
IPOD CURSOR UP,NEC1,127,1,14
IPOD: CURSOR UP,NEC1,127,1,14
IPOD MENU UP,NEC1,127,1,14
DOCK NAV UP,NEC1,127,1,14
