functionname,protocol,device,subdevice,function
TAPE_PLAY,NEC,122,-1,0
TAPETAPE_BWD,NEC,122,-1,1
TAPE_FWD,NEC,122,-1,2
TAPE_STOP,NEC,122,-1,3
TAPE_RECPAUSE,NEC,122,-1,4
TAPE_AB,NEC,122,-1,6
TAPE_DIRA,NEC,122,-1,7
CD_PLAY,NEC,122,-1,8
CD_STOP,NEC,122,-1,9
CD_SEARCH_FWD,NEC,122,-1,10
CD_SEARCH_BWD,NEC,122,-1,11
CD_SKIP_FWD,NEC,122,-1,12
CD_SKIP_BWD,NEC,122,-1,13
PRESET_PLUS,NEC,122,-1,16
PRESET_MINUS,NEC,122,-1,17
ABCDE,NEC,122,-1,18
PHONO,NEC,122,-1,20
KEY_CD,NEC,122,-1,21
KEY_TUNER,NEC,122,-1,22
KEY_AUX,NEC,122,-1,23
TAPE1,NEC,122,-1,24
TAPE2,NEC,122,-1,25
KEY_VOLUMEUP,NEC,122,-1,26
KEY_VOLUMEDOWN,NEC,122,-1,27
KEY_SLEEP,NEC,122,-1,31
TAPE_DIRB,NEC,122,-1,64
CD_DISC,NEC,122,-1,79
KEY_SLEEP,NEC,122,-1,87
