functionname,protocol,device,subdevice,function
CHANNEL+,NEC,247,-1,0
CHANNEL-,NEC,247,-1,1
VOLUME+,NEC,247,-1,2
VOLUME-,NEC,247,-1,3
UP,NEC,247,-1,4
DOWN,NEC,247,-1,5
RIGHT,NEC,247,-1,6
LEFT,NEC,247,-1,7
POWER,NEC,247,-1,8
MUTE,NEC,247,-1,9
SAP,NEC,247,-1,10
SLEEP,NEC,247,-1,14
0,NEC,247,-1,16
1,NEC,247,-1,17
2,NEC,247,-1,18
3,NEC,247,-1,19
4,NEC,247,-1,20
5,NEC,247,-1,21
6,NEC,247,-1,22
7,NEC,247,-1,23
8,NEC,247,-1,24
9,NEC,247,-1,25
AGAIN,NEC,247,-1,26
FAVORITES,NEC,247,-1,30
CHUP2,NEC,247,-1,32
CHDOWN2,NEC,247,-1,33
CCD,NEC,247,-1,57
MENU,NEC,247,-1,67
OK,NEC,247,-1,68
KPMINUS,NEC,247,-1,76
EXIT,NEC,247,-1,91
POWER,NEC,247,-1,92
OK2,NEC,247,-1,120
ZOOM,NEC,247,-1,121
MENU2,NEC,247,-1,126
SIGNAL,NEC,247,-1,150
INFO,NEC,247,-1,169
DISPLAY,NEC,247,-1,170
