functionname,protocol,device,subdevice,function
PGMPLAY,NEC,68,-1,0
PLAY,NEC,68,-1,1
STOP,NEC,68,-1,2
0,NEC,68,-1,4
1,NEC,68,-1,5
2,NEC,68,-1,6
3,NEC,68,-1,7
SEARCHLEFT,NEC,68,-1,8
SEARCHRIGHT,NEC,68,-1,9
SKIPLEFT,NEC,68,-1,10
SKIPRIGHT,NEC,68,-1,11
4,NEC,68,-1,12
5,NEC,68,-1,13
6,NEC,68,-1,14
7,NEC,68,-1,15
INDEX,NEC,68,-1,16
CALL,NEC,68,-1,17
CLEAR,NEC,68,-1,18
ENTER,NEC,68,-1,19
8,NEC,68,-1,20
9,NEC,68,-1,21
102ND,NEC,68,-1,22
REMAIN,NEC,68,-1,24
A-B,NEC,68,-1,25
1,NEC,68,-1,26
ALL,NEC,68,-1,27
RANDOM,NEC,68,-1,28
INTRO,NEC,68,-1,29
