functionname,protocol,device,subdevice,function
ANGLE_(DVD_FUNCTION),NEC,0,246,0
ZOOM_(DVD_FUNCTION),NEC,0,246,1
VOLUME+,NEC,0,246,2
MUTE,NEC,0,246,3
NEXT,NEC,0,246,5
UP,NEC,0,246,6
ENTER,NEC,0,246,7
DVD,NEC,0,246,8
MONO/STEREO_(TUNER_FUNCTION),NEC,0,246,9
STOP,NEC,0,246,10
1,NEC,0,246,13
PLAY,NEC,0,246,15
OPEN,NEC,0,246,16
5,NEC,0,246,17
9,NEC,0,246,18
POWER,NEC,0,246,20
6,NEC,0,246,21
7,NEC,0,246,23
SLOW_(DVD_FUNCTION),NEC,0,246,24
2,NEC,0,246,25
3,NEC,0,246,27
PRE/TUN_(TUNER_FUNCTION),NEC,0,246,29
PAUSE,NEC,0,246,30
PROG_(CD_FUNCTION),NEC,0,246,31
RIGHT,NEC,0,246,64
4,NEC,0,246,65
VOLUME-,NEC,0,246,66
MENU_(DVD_FUNCTION),NEC,0,246,67
DOWN,NEC,0,246,68
REWIND,NEC,0,246,69
8,NEC,0,246,70
LEFT,NEC,0,246,71
TUNER,NEC,0,246,72
AUX1,NEC,0,246,73
AUX2,NEC,0,246,74
10CHANNELSUP,NEC,0,246,75
PREVIOUS,NEC,0,246,80
REPEAT_(CD_FUNCTION),NEC,0,246,82
SUBTITLE,NEC,0,246,83
AUDIO_(DVD_FUNCTION),NEC,0,246,85
DISPLAY_RDS_(TUNER_FUNCTION),NEC,0,246,86
SETUP_(DVD_FUNCTION),NEC,0,246,87
0,NEC,0,246,89
FORWARD,NEC,0,246,94
TITLE_(DVD_FUNCTION),NEC,0,246,95
