functionname,protocol,device,subdevice,function
MENU,NEC,0,-1,2
AUDIO,NEC,0,-1,6
INFO,NEC,0,-1,10
LIVE,NEC,0,-1,14
POWER,NEC,0,-1,18
DOWN,NEC,0,-1,19
IMAGES,NEC,0,-1,22
RIGHT,NEC,0,-1,23
TV,NEC,0,-1,26
UP,NEC,0,-1,27
VIDEO,NEC,0,-1,30
LEFT,NEC,0,-1,31
STOP,NEC,0,-1,64
RECORD,NEC,0,-1,65
7,NEC,0,-1,66
PREVIOUS_CHAPTER,NEC,0,-1,68
MUTE,NEC,0,-1,69
6,NEC,0,-1,70
FASTFORWARD,NEC,0,-1,72
CHANNEL-,NEC,0,-1,73
5,NEC,0,-1,74
PLAYPAUSE,NEC,0,-1,76
VOLUME-,NEC,0,-1,77
4,NEC,0,-1,78
NUMERIC_STAR,NEC,0,-1,79
REWIND,NEC,0,-1,80
BLUE_BUTTON,NEC,0,-1,81
3,NEC,0,-1,82
NUMERIC_POUND,NEC,0,-1,83
MORE/INFO,NEC,0,-1,84
CHANNEL+,NEC,0,-1,85
2,NEC,0,-1,86
0,NEC,0,-1,87
OK,NEC,0,-1,88
VOLUME+,NEC,0,-1,89
1,NEC,0,-1,90
9,NEC,0,-1,91
ESC/BACK,NEC,0,-1,92
NEXT,NEC,0,-1,93
RADIO,NEC,0,-1,94
8,NEC,0,-1,95
