functionname,protocol,device,subdevice,function
CHANNEL-,NEC,134,124,1
BACK,NEC,134,124,2
PLAY,NEC,134,124,3
STOP,NEC,134,124,4
PAUSE,NEC,134,124,5
POWER,NEC,134,124,6
CHANNEL+,NEC,134,124,7
FORWARD,NEC,134,124,8
RESET,NEC,134,124,9
RECORD,NEC,134,124,10
RIGHT,NEC,134,124,11
DISPLAYTOGGLE,NEC,134,124,12
LEFT,NEC,134,124,13
NEXT,NEC,134,124,14
EPG,NEC,134,124,15
0,NEC,134,124,16
1,NEC,134,124,17
2,NEC,134,124,18
3,NEC,134,124,19
4,NEC,134,124,20
5,NEC,134,124,21
6,NEC,134,124,22
7,NEC,134,124,23
8,NEC,134,124,24
9,NEC,134,124,25
TV,NEC,134,124,26
CLOCK,NEC,134,124,30
MENU,NEC,134,124,31
