functionname,protocol,device,subdevice,function
KEY_1,Sony12,1,-1,0
KEY_2,Sony12,1,-1,1
KEY_3,Sony12,1,-1,2
KEY_4,Sony12,1,-1,3
KEY_5,Sony12,1,-1,4
KEY_6,Sony12,1,-1,5
KEY_7,Sony12,1,-1,6
KEY_8,Sony12,1,-1,7
KEY_9,Sony12,1,-1,8
KEY_0,Sony12,1,-1,9
KEY_VOLUMEUP,Sony12,1,-1,18
KEY_VOLUMEDOWN,Sony12,1,-1,19
p-p,Sony12,1,-1,31
digits,Sony12,1,-1,39
KEY_MUTE,Sony12,1,-1,45
prog-dn,Sony12,1,-1,48
KEY_CHANNELUP,Sony12,1,-1,49
KEY_PLAY,Sony12,1,-1,50
KEY_REWIND,Sony12,1,-1,51
KEY_FORWARD,Sony12,1,-1,52
KEY_STOP,Sony12,1,-1,56
KEY_PAUSE,Sony12,1,-1,57
KEY_POWER,Sony12,1,-1,95
