functionname,protocol,device,subdevice,function
horizontalRIGHT,Sony20,26,9,12
horizontalLEFT,Sony20,26,9,13
verticalUP,Sony20,26,9,14
verticalDOWN,Sony20,26,9,15
tiltDOWNRIGHT,Sony20,26,9,16
tiltDOWNLEFT,Sony20,26,9,17
contrastUP,Sony20,26,9,24
contrastDOWN,Sony20,26,9,25
brightUP,Sony20,26,9,30
brightDOWN,Sony20,26,9,31
widthRIGHT,Sony20,26,9,38
widthLEFT,Sony20,26,9,39
heightUP,Sony20,26,9,40
heightDOWN,Sony20,26,9,41
converganceRIGHT,Sony20,26,9,42
converganceLEFT,Sony20,26,9,43
converganceUP,Sony20,26,9,44
converganceDOWN,Sony20,26,9,45
sizeUP,Sony20,26,9,55
sizeDOWN,Sony20,26,9,56
